,Jan-01,Feb-01,Mar-01,Apr-01,May-01,Jun-01,Jul-01,Aug-01,Sep-01,Oct-01,Nov-01,Dec-01,Jan-02,Feb-02,Mar-02,Apr-02,May-02,Jun-02,Jul-02,Aug-02,Sep-02,Oct-02,Nov-02,Dec-02,Jan-03,Feb-03,Mar-03,Apr-03,May-03,Jun-03,Jul-03,Aug-03,Sep-03,Oct-03,Nov-03,Dec-03,Jan-04,Feb-04,Mar-04,Apr-04,May-04,Jun-04,Jul-04,Aug-04,Sep-04,Oct-04,Nov-04,Dec-04,Jan-05,Feb-05,Mar-05,Apr-05,May-05,Jun-05,Jul-05,Aug-05,Sep-05,Oct-05,Nov-05,Dec-05,Jan-06,Feb-06,Mar-06,Apr-06,May-06,Jun-06,Jul-06,Aug-06,Sep-06,Oct-06,Nov-06,Dec-06,Jan-07,Feb-07,Mar-07,Apr-07,May-07,Jun-07,Jul-07,Aug-07,Sep-07,Oct-07,Nov-07,Dec-07,Jan-08,Feb-08,Mar-08,Apr-08,May-08,Jun-08,Jul-08,Aug-08,Sep-08,Oct-08,Nov-08,Dec-08,Jan-09,Feb-09,Mar-09,Apr-09,May-09,Jun-09,Jul-09,Aug-09,Sep-09,Oct-09,Nov-09,Dec-09,Jan-10,Feb-10,Mar-10,Apr-10,May-10,Jun-10,Jul-10,Aug-10,Sep-10,Oct-10,Nov-10,Dec-10,Jan-11,Feb-11,Mar-11,Apr-11,May-11,Jun-11,Jul-11,Aug-11,Sep-11,Oct-11,Nov-11,Dec-11,Jan-12,Feb-12,Mar-12,Apr-12,May-12,Jun-12,Jul-12,Aug-12,Sep-12,Oct-12,Nov-12,Dec-12,Jan-13,Feb-13,Mar-13,Apr-13,May-13,Jun-13,Jul-13,Aug-13,Sep-13,Oct-13,Nov-13,Dec-13,Jan-14,Feb-14,Mar-14,Apr-14,May-14,Jun-14,Jul-14,Aug-14,Sep-14,Oct-14,Nov-14,Dec-14,Jan-15,Feb-15,Mar-15,Apr-15,May-15,Jun-15,Jul-15,Aug-15,Sep-15,Oct-15,Nov-15,Dec-15,Jan-16,Feb-16,Mar-16,Apr-16,May-16,Jun-16,Jul-16,Aug-16,Sep-16,Oct-16,Nov-16,Dec-16,Jan-17,Feb-17,Mar-17,Apr-17,May-17,Jun-17,Jul-17,Aug-17,Sep-17,Oct-17,Nov-17,Dec-17,Jan-18,Feb-18,Mar-18,Apr-18,May-18,Jun-18,Jul-18,Aug-18,Sep-18,Oct-18,Nov-18,Dec-18,Jan-19,Feb-19,Mar-19,Apr-19,May-19,Jun-19,Jul-19,Aug-19,Sep-19,Oct-19,Nov-19,Dec-19,Jan-20,Feb-20,Mar-20,Apr-20,May-20,Jun-20,Jul-20,Aug-20,Sep-20,Oct-20,Nov-20,Dec-20,Jan-21,Feb-21,Mar-21,Apr-21,May-21,Jun-21,Jul-21,Aug-21,Sep-21,Oct-21,Nov-21,Dec-21,Jan-22,Feb-22,Mar-22,Apr-22,May-22,Jun-22,Jul-22,Aug-22,Sep-22,Oct-22,Nov-22,Dec-22,Jan-23,Feb-23,Mar-23,Apr-23,May-23,Jun-23,Jul-23,Aug-23,Sep-23,Oct-23,Nov-23,Dec-23,Jan-24,Feb-24,Mar-24,Apr-24,May-24,Jun-24,Jul-24,Aug-24,Sep-24,Oct-24,Nov-24,Dec-24,Jan-25,Feb-25,Mar-25,Apr-25,May-25,Jun-25,Jul-25,Aug-25,Sep-25,Oct-25,Nov-25
coal,177287,149735,155269,140671,151593,162616,179060,183116,154158,148931,144117,157402,164358,143049,151486,142305,151406,164668,183195,179955,165366,159099,156054,172190,181313,156982,155002,141960,150263,162285,181852,185332,164910,159323,158223,176291,180657,161503,154288,141471,157016,167642,181492,178181,164253,157605,157436,176755,177014,155818,163613,143083,153958,174867,186091,187574,171656,162437,158798,177965,169236,158616,161325,141426,157010,169693,187821,189455,161590,161390,159440,173509,175739,163603,159811,146250,157513,173513,185054,190135,169391,162234,159382,173830,182876,166666,160743,146983,154916,171043,186733,180576,161356,151841,154281,167786,171925,140916,135530,125935,131673,148087,158234,163260,137145,139956,136810,166434,173320,153044,144406,126952,143272,165491,179600,177745,148746,132270,135185,167258,170803,138311,134845,124488,137102,158055,176586,171281,140941,126627,121463,132929,129091,113872,105526,96285,115983,131261,160450,152181,125589,120999,128727,134079,138105,123547,130634,111835,119513,138283,152867,149426,133110,120996,120940,141860,157097,143294,136443,109281,118786,137577,149627,148452,126110,111296,119127,124620,132451,126977,108488,88989,104585,125673,139100,134670,117986,96759,87227,89495,113459,92705,72173,72113,81695,116034,136316,135635,114138,99194,86940,118747,115333,86822,89365,81335,92777,107508,127698,119488,98202,89776,90986,106545,119284,82050,80626,73346,85227,101503,115376,115129,96544,87264,92819,100319,100905,79929,78352,59922,71885,78540,100771,94040,85707,66777,75549,72581,65140,56201,50731,40675,46527,65283,89709,91145,68407,59805,61182,78588,81240,87470,61904,53956,63873,87265,101537,101855,78877,62572,57426,60025,87588,70966,61019,55329,62532,73463,86415,85215,64998,54228,56377,73381,61357,46374,50096,40233,43804,57772,78903,78112,59959,50933,51209,56365,75618,44137,38505,37246,45812,61339,71565,68760,54559,46890,44924,62800,83153,62306,49215,45526,48778,64502,80260,69728,58427,54435,54491
petroleum liquids,17300,9626,10981,10237,9641,10997,10050,13235,6432,5573,5090,5484,5434,4388,6937,6535,6664,6429,8507,8194,6670,6910,5174,6859,11518,9740,9347,7314,6841,9534,10542,10836,7114,6970,4939,8040,13509,7701,8098,7400,8511,9185,10337,9185,7070,5928,5270,8197,10261,5575,6472,5273,4823,8740,11039,12414,10452,8385,5199,11207,4246,3257,2407,3039,2902,4060,5121,6571,3043,3354,3355,3105,4420,7596,4118,3830,3489,4213,4125,5702,3647,3558,2001,2803,3131,2438,2112,2274,2343,3707,2983,2547,2990,1943,2191,3257,4968,2267,2089,1658,2053,2090,2124,2449,1677,1815,1315,1468,3187,1251,1272,1220,1851,2656,2970,2419,1675,1221,1220,2395,1902,1217,1276,1459,1356,1374,1714,1295,1119,1114,1082,1178,1180,907,971,965,1078,1306,1531,1202,978,1061,986,1235,1733,1130,990,995,1067,1035,1458,1076,964,945,989,1438,5913,1847,2002,911,960,889,992,1014,929,908,963,947,1927,5221,1061,919,1017,1040,1201,1093,1006,945,995,948,1396,1299,874,833,984,972,1273,1258,946,937,1070,1166,1102,869,956,860,970,991,920,968,931,973,915,1958,5555,804,830,872,1040,1066,988,1047,1055,1015,1006,966,1413,815,816,782,937,957,1004,1047,923,942,899,988,915,749,691,626,691,818,914,887,755,876,800,940,936,1589,791,802,835,932,883,1197,950,894,887,968,3105,1114,959,749,834,897,1045,1001,942,952,911,3296,983,1233,924,868,880,878,964,958,894,990,906,920,1469,740,784,866,850,890,997,993,839,929,875,1224,2751,1182,857,856,764,1115,1107,1018,918,944,989
petroleum coke,812,716,752,627,749,825,992,994,911,961,841,1055,1257,1275,1280,1299,1462,1367,1406,1543,1405,1206,1113,1252,1124,1030,876,1267,1212,1465,1659,1642,1549,1640,1541,1666,1925,1665,1634,1641,1725,1657,1761,1893,1607,1738,1604,1903,1929,1740,1880,1679,1891,2043,1995,2114,1827,1793,1668,1827,1890,1667,1607,1651,1518,1706,1881,1788,1602,1538,1392,1466,1574,1287,1297,1250,1384,1564,1369,1485,1289,1189,1135,1412,1366,1231,1039,1126,1055,1255,1174,1264,1181,1343,1154,1137,1136,1051,1260,1148,1156,1153,1234,1193,1176,746,757,954,1161,1122,1198,1067,1143,1333,1441,1157,1108,1007,860,1128,1555,1217,1416,965,1023,1220,1440,1299,1305,948,701,1007,1297,994,570,538,651,762,809,916,882,744,824,800,1042,867,1007,891,1345,1307,1354,1372,1222,1074,850,1013,1158,916,1186,842,1084,1131,1050,1036,1019,609,775,1149,1046,1100,717,809,922,821,1103,1040,1028,827,715,749,966,910,927,1006,974,1005,1049,1078,980,635,799,869,944,723,699,431,847,901,889,765,712,572,755,737,965,754,642,666,517,834,913,879,799,562,656,795,800,692,574,401,737,563,791,684,581,200,333,463,633,540,704,614,610,801,837,787,439,351,612,751,702,660,645,422,534,453,681,747,638,655,783,591,564,621,500,528,596,683,488,576,648,610,568,744,421,395,314,301,330,389,651,651,592,293,179,318,360,217,207,278,304,389,451,432,236,232,220,304,538,336,412,319,344,417,567,501,390,437,334
natural gas,42389,37967,44364,45843,50934,57603,73030,78410,60181,56376,44491,47541,48413,44308,51214,49146,50275,65631,83917,84477,68161,54201,45161,46100,50176,43547,46699,45195,49373,54453,76938,83250,59090,51824,45328,44035,48253,50320,49801,51822,62022,64686,79290,77821,67854,57229,49693,51310,51338,44913,51897,52016,54826,75635,96819,100787,73355,55941,49440,53993,43807,47409,54922,56091,65586,81060,108094,106592,72673,70640,53440,56128,61475,57622,56204,60153,66470,81511,97483,121338,88532,78358,60637,66808,72600,60042,62171,63046,62270,84620,100321,99673,79136,73283,61454,64364,66390,62139,68203,61159,68146,84205,101894,109240,92127,72603,63285,71590,74173,66198,63431,64644,73665,92268,114624,121151,93004,77738,69227,77573,74254,65924,65947,70029,75243,90691,119624,119856,91739,78819,75441,86122,90761,90610,92251,94829,107352,115598,138863,131736,108012,91725,80169,83989,88559,80283,84725,78036,83816,99615,120771,121156,102063,88587,84287,92936,91062,75945,78154,76785,89121,98470,115083,122350,106584,97685,84356,91040,101691,91440,99550,92856,101625,121568,141241,139216,123111,110110,102369,109892,110044,98688,103933,98974,110519,131523,151716,154926,125683,102898,93951,96416,95661,82837,95214,88562,98074,117351,147042,141308,118132,106895,95072,111553,110442,98675,106742,98672,115565,131086,165075,162001,142085,123280,108265,109955,121808,112397,116059,104349,117297,138087,172282,175270,149938,131113,117959,131973,136084,128018,126187,110564,117186,143055,181568,173644,141397,131413,109811,127863,126530,111183,107019,107416,114676,149376,170189,172716,138214,131852,122433,127586,134948,114945,112477,105506,127091,155517,189042,188860,156948,133492,127523,140716,138503,125036,133699,120012,137394,161981,199522,199221,166311,140825,135531,148029,161667,131845,131137,121532,143993,169156,205959,202915,169671,146711,137687,147630,157040,131182,118276,114671,135005,164781,201958,192845,167875,143962,131416
other gases,718,676,769,698,785,733,840,848,767,737,699,770,923,760,904,890,910,1009,1071,1117,1053,908,894,1025,1283,1132,1267,1305,1310,1235,1292,1284,1309,1291,1451,1441,1182,1194,1292,1345,1302,1333,1284,1290,1341,1269,1216,1205,1126,1076,1214,1121,1191,1149,1161,1172,1145,1080,965,1062,1157,1114,1234,1180,1295,1167,1267,1292,1153,1185,1065,1068,1154,981,1234,1163,1175,1154,1154,1132,1120,1134,1031,1022,1063,972,1049,1021,1044,1132,1174,1147,823,806,721,753,807,784,834,758,773,876,966,1012,1022,960,910,930,909,825,1010,943,1017,964,963,1061,954,808,907,952,930,807,945,918,875,1013,1098,1087,1004,941,943,1005,1017,1044,1076,1057,1002,972,1042,1050,904,895,875,963,1144,968,1070,1020,1088,1048,1148,1143,1087,1072,1060,1006,933,817,866,854,944,969,1069,1135,1126,1082,1073,1153,1246,1025,1091,979,1099,1118,1235,1196,1210,906,902,1110,1195,1062,1197,1132,1053,1043,1077,1064,1020,913,1013,1037,1047,978,1060,1001,1056,993,1047,1133,1059,998,1001,1095,1097,1092,1158,1099,1167,1091,1172,1301,1104,1016,1045,1120,1025,948,1086,948,1054,1009,1185,1147,1112,924,1047,1107,1155,1152,1047,802,884,867,937,1094,1013,918,950,999,1035,820,860,871,914,974,1046,1031,984,1062,871,930,1005,886,953,921,1036,987,1083,1008,987,968,911,978,945,891,1028,866,1011,974,1046,1088,983,924,959,1062,1074,931,882,913,889,941,949,911,836,801,800,919,1103,1108,773,650,638,965,889,865,963,1082,867
nuclear,68707,61272,62141,56003,61512,68023,69166,68389,63378,60461,62342,67431,70926,61658,63041,58437,63032,66372,70421,70778,64481,60493,61520,68905,69211,60942,59933,56776,62202,64181,69653,69024,63584,60016,59600,68612,70806,64102,63285,58620,64917,67734,71975,71068,65932,62530,58941,68617,69828,60947,61539,55484,62970,66144,71070,71382,66739,61236,62913,71735,71912,62616,63721,57567,62776,68391,72186,72016,66642,57509,61392,70490,74006,65225,64305,57301,65025,68923,72739,72751,67579,61690,64899,71983,70735,65130,64716,57333,64826,70319,74318,72617,67054,62820,63408,72931,74102,64227,67241,59408,65395,69735,72949,72245,65752,58021,59069,70710,72569,65245,64635,57611,66658,68301,71913,71574,69371,62751,62655,73683,72743,64789,65662,54547,57013,65270,72345,71339,66849,63337,64474,71837,72381,63847,61729,55871,62081,65140,69129,69602,64511,59743,56713,68584,71406,61483,62947,56767,62848,66430,70539,71344,65799,63184,64975,71294,73163,62639,62397,56385,62947,68138,71940,71129,67535,62391,65140,73363,74270,63461,64547,59784,65827,68516,71412,72415,66476,60571,60264,69634,72525,65638,66149,62732,66576,67175,70349,71526,65448,60733,65179,71662,73121,63560,65093,56743,61313,67011,71314,72384,68098,65995,66618,73700,74649,64790,67033,59133,67320,69688,72456,72282,64725,59397,63954,71657,73701,64715,65080,60581,67124,68805,72199,71911,66064,62033,64125,73074,74170,65911,63997,59170,64338,67205,69385,68982,65727,59362,61760,69871,71732,62954,63708,57092,63394,66070,68832,69471,64520,58401,62749,70720,70577,61852,63154,55290,63382,65715,68857,68897,63733,58945,62041,69094,70870,60807,62820,56662,61155,64819,69888,69744,65560,61436,62258,68854,69080,64584,63346,57542,64973,68192,69851,69760,62660,58773,61904,71200,71739,61829,62457,57893,62145,66222,70781,70705,65458,59222,63809
conventional hydroelectric,18852,17473,20477,18013,19176,20728,18079,18914,15256,15235,15413,19346,21795,20192,21009,24247,26663,28213,25471,21084,17087,17171,19730,21669,20600,19780,24202,24759,29395,28586,24843,22972,18480,18428,19715,24044,22983,20914,22914,20888,24020,25252,23318,21592,20525,18863,20937,26211,24272,21607,22936,23058,27279,26783,25957,21566,17364,18006,19353,22141,27437,24762,24625,28556,30818,29757,25439,21728,17201,17055,20272,21596,26045,18567,24163,23891,26047,22817,22478,19941,14743,14796,15682,18342,20779,18789,21669,22234,27221,29177,25555,21229,16178,15470,15668,20861,23490,17812,21827,25770,29560,29233,23385,19580,17359,19691,21008,24730,22383,20590,20886,19097,25079,29854,24517,20119,17265,17683,19562,23169,25531,24131,31134,31194,32587,32151,31285,25764,21378,19787,20681,23732,23107,20284,25907,26295,28641,26658,26491,23034,17604,16502,18733,22984,24829,20418,20534,25097,28450,27384,27255,21633,16961,17199,17677,21128,21634,17396,24257,25440,26544,25744,24357,19807,16074,17159,18625,22329,24138,22286,24281,22471,20125,20414,21014,19122,16094,16630,19338,23166,25615,24139,27390,25878,25486,23237,21455,19570,16368,17339,18808,22528,26628,23882,29613,29409,32607,30575,26598,22034,19152,17698,19888,22248,25064,24902,25861,28115,30444,27597,25100,22017,19166,19548,21913,22797,24798,22881,26334,27820,31982,28078,24875,22579,18526,18306,20218,21478,24498,25868,23823,23194,29976,27999,26742,23284,18679,18810,20893,21508,24560,20137,21220,19389,23309,23454,22098,20328,17022,17133,19373,23562,24198,21321,24436,20066,23359,25988,24567,21133,17026,14367,17898,20430,22754,19961,21331,19820,27651,21572,21978,21293,16916,15673,17026,19028,21554,20795,23363,20916,24477,22397,21384,20491,15911,15352,16723,19533,21429,19541,22454,22840,24358,22161,19984,19983,15322,16546,18417
wind,389,431,532,685,635,670,635,577,490,607,470,616,811,714,852,1024,1078,1126,890,977,736,734,656,755,632,745,1036,1093,1006,1047,953,815,895,897,961,1105,999,1022,1291,1295,1702,1397,1164,1051,1090,1029,932,1172,1132,966,1561,1698,1746,1797,1421,1138,1468,1446,1610,1828,2383,1922,2359,2472,2459,2052,1955,1655,1879,2442,2540,2472,2452,2520,3047,3172,2952,2620,2158,2699,2867,3377,3095,3490,4273,3852,4782,5225,5340,5140,4008,3264,3111,4756,4994,6616,5951,5852,7099,7458,6262,5599,4955,5464,4651,6814,6875,6906,6854,5432,8589,9764,8698,8049,6724,6686,7106,7944,9748,9059,8550,10452,10545,12422,11772,10985,7489,7474,6869,10525,12439,10656,13631,11052,14027,12709,12540,11972,8823,8469,8790,12636,11648,14524,14739,14076,15756,17476,16239,13748,11094,9634,11674,13635,15803,13967,17911,14009,17736,18636,15601,15799,12187,10171,11520,14508,18867,14711,15162,14922,15308,17867,17151,13421,13675,13080,13972,16380,19682,20098,18466,20138,21939,20799,18848,16303,17618,13589,16404,20335,19406,23146,20799,22091,25731,25378,23068,20142,16120,13879,17912,24369,22615,22201,25599,23189,26464,26431,23953,24703,16447,19846,18520,21194,22016,24306,24301,22623,25773,28915,25779,22446,22101,19978,24513,27625,25184,26644,28121,29110,29320,29752,28378,30212,22866,23029,23186,28823,33129,32011,30060,26716,39205,36158,33787,26672,21716,27071,28998,32215,35751,39849,37416,37645,43031,46167,42124,33768,29475,24718,27331,32745,41199,38680,38358,41424,43584,42746,32227,27547,28005,28394,28353,36020,36445,38038,34791,40982,45102,47088,39256,38661,28304,29290,29178,39592,40133,39527,43612,39357,50607,45889,36881,35788,31816,27297,25679,39540,40948
geothermal,1229,1073,1190,1095,1071,1088,1179,1167,1139,1162,1157,1190,1287,1132,1245,1115,1216,1151,1262,1227,1195,1235,1189,1236,1258,1130,1213,1166,1169,1223,1228,1219,1203,1195,1151,1268,1295,1214,1241,1161,1208,1225,1278,1257,1188,1276,1212,1256,1252,1063,1204,1187,1264,1248,1273,1254,1223,1247,1220,1257,1230,1111,1261,1129,1096,1199,1261,1289,1219,1275,1207,1290,1296,1122,1204,1158,1155,1238,1250,1255,1218,1265,1211,1266,1209,1087,1251,1218,1259,1260,1279,1273,1234,1277,1233,1261,1289,1168,1300,1222,1235,1209,1255,1251,1217,1221,1273,1368,1312,1159,1307,1240,1311,1264,1274,1297,1253,1222,1252,1330,1347,1215,1337,1239,1318,1215,1269,1275,1226,1281,1271,1324,1263,1193,1285,1248,1304,1277,1321,1304,1300,1329,1347,1390,1382,1236,1378,1274,1308,1278,1337,1322,1299,1363,1230,1366,1355,1206,1338,1314,1332,1293,1320,1329,1308,1345,1362,1375,1362,1260,1394,1272,1390,1302,1357,1344,1203,1323,1334,1377,1332,1243,1315,1209,1342,1251,1311,1324,1327,1353,1364,1454,1407,1239,1387,1341,1302,1284,1373,1363,1332,1214,1305,1381,1341,1274,1367,1188,1383,1300,1370,1367,1328,1273,1331,1446,1390,1293,1422,1254,1342,1328,1375,1393,1368,1141,984,1183,1148,1230,1465,1379,1362,1274,1331,1323,1288,1288,1399,1403,1347,1287,1242,1288,1335,1277,1351,1337,1343,1319,1366,1484,1470,1243,1286,1282,1327,1276,1341,1354,1329,1298,1397,1482,1420,1302,1442,1356,1345,1293,1296,1267,1315,1420,1440,1473,1399,1303,1359,1280,1246,1202,1218,1227,1201,1261,1317,1393,1389,1252,1388,1306,1253,1278,1285,1349,1284,1267,1263
biomass,4400,3793,4042,4008,3951,4116,4339,4464,4076,4261,4071,4228,4489,3930,4213,4358,4408,4693,4818,4765,4598,4559,4376,4501,4597,4068,4420,4354,4230,4318,4765,4693,4383,4420,4404,4690,4581,4243,4415,4382,4348,4388,4743,4646,4358,4512,4332,4589,4611,4179,4566,4258,4452,4503,4799,4768,4542,4451,4480,4669,4810,4322,4546,4207,4411,4462,4843,4867,4568,4545,4541,4740,4907,4215,4479,4309,4430,4606,4877,4866,4690,4671,4698,4791,4744,4374,4596,4433,4402,4616,4935,4872,4486,4554,4527,4494,4493,4180,4472,4207,4257,4556,4856,4959,4562,4565,4621,4765,4629,4277,4682,4490,4470,4720,4948,4961,4732,4550,4706,4925,4805,4364,4646,4301,4358,4862,5052,5076,4768,4585,4772,5084,4915,4615,4657,4287,4591,4693,5073,5096,4854,4829,4874,5138,5088,4586,5057,4544,4955,5057,5333,5481,5069,5071,5172,5443,5476,4951,5460,5040,5139,5449,5750,5642,5234,5149,5198,5503,5442,4896,5169,4976,5137,5280,5795,5710,5256,5095,5320,5557,5395,5115,5212,4778,5096,5208,5498,5583,5164,4869,5282,5560,5400,4883,5303,4888,5038,5234,5527,5575,4994,5031,5231,5630,5503,4951,5369,4828,5083,5191,5499,5387,4870,4959,4988,5203,5138,4540,4841,4317,4614,4740,5115,5174,4740,4636,4662,4988,4980,4632,4817,4401,4508,4279,4564,4721,4378,4329,4404,4698,4824,4258,4682,4250,4481,4557,4745,4784,4442,4275,4283,4670,4538,4203,4360,4078,4278,4417,4682,4585,4179,3993,4183,4353,4265,3741,3982,3524,3997,3887,4093,4221,3802,3620,3889,4177,4144,3824,3893,3572,3858,3892,4071,4136,3785,3482,3763,4002,4013,3692,3939,3467,3786,3906,4133,4035,3863,3625,3768
